province,city,population
Santa Fe,Rosario,1029000
Santa Fe,Santa Fe,415000
Santa Fe,Rafaela,109000
Santa Fe,Cañada de Gómez,30000
Santa Fe,Villa Eloísa,3500
Santa Fe,Venado Tuerto,82000
Santa Fe,Reconquista,78000
Santa Fe,Santo Tomé,66000
Santa Fe,Esperanza,43000
Santa Fe,San Lorenzo,50000
Santa Fe,Villa Constitución,48000
Santa Fe,Casilda,36000
Santa Fe,Firmat,20000
Córdoba,Córdoba,1500000
Córdoba,Río Cuarto,180000
Córdoba,Villa María,90000
Córdoba,Villa Carlos Paz,75000
Córdoba,San Francisco,65000
Córdoba,Bell Ville,38000
Córdoba,Alta Gracia,52000
Córdoba,Río Tercero,47000
Córdoba,Jesús María,32000
Buenos Aires,La Plata,772000
Buenos Aires,Mar del Plata,682000
Buenos Aires,Bahía Blanca,335000
Buenos Aires,Tandil,150000
Buenos Aires,San Nicolás,145000
Buenos Aires,Pergamino,105000
Buenos Aires,Junín,95000
Buenos Aires,Olavarría,90000
Buenos Aires,Necochea,85000
Buenos Aires,Chivilcoy,60000
Buenos Aires,Mercedes,65000
Mendoza,Mendoza,120000
Mendoza,San Rafael,130000
Mendoza,Godoy Cruz,195000
Mendoza,Guaymallén,320000
Mendoza,Luján de Cuyo,140000
Entre Ríos,Paraná,290000
Entre Ríos,Concordia,160000
Entre Ríos,Gualeguaychú,95000
Entre Ríos,Concepción del Uruguay,75000
Tucumán,San Miguel de Tucumán,600000
Tucumán,Yerba Buena,70000
Tucumán,Concepción,50000
Salta,Salta,620000
Salta,San Ramón de la Nueva Orán,80000
Chaco,Resistencia,310000
Chaco,Presidencia Roque Sáenz Peña,100000
Corrientes,Corrientes,380000
Corrientes,Goya,90000
Misiones,Posadas,360000
Misiones,Oberá,65000
Misiones,Eldorado,60000
Neuquén,Neuquén,260000
Neuquén,Cutral Có,40000
Río Negro,San Carlos de Bariloche,140000
Río Negro,General Roca,90000
Río Negro,Cipolletti,90000
Río Negro,Viedma,60000
San Juan,San Juan,115000
San Juan,Rawson,120000
San Luis,San Luis,180000
San Luis,Villa Mercedes,120000
Catamarca,San Fernando del Valle de Catamarca,160000
La Rioja,La Rioja,190000
Santiago del Estero,Santiago del Estero,280000
Santiago del Estero,La Banda,110000
Jujuy,San Salvador de Jujuy,270000
Jujuy,San Pedro,60000
La Pampa,Santa Rosa,110000
La Pampa,General Pico,60000
Formosa,Formosa,240000
Chubut,Comodoro Rivadavia,190000
Chubut,Trelew,105000
Chubut,Puerto Madryn,90000
Santa Cruz,Río Gallegos,115000
Santa Cruz,Caleta Olivia,55000
Tierra del Fuego,Ushuaia,82000
Tierra del Fuego,Río Grande,98000
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,3120000
